category,text_cleaned_string
positive,glad understood technical lingo quotlittle many dudequot haha
neutral,snl w justin timberlake
neutral,pushing team use twitter tool
neutral,frets waits governors call
negative,cancelled flightled direct flight newarkbrussels last night hours behind schedule eu compensation would given us
neutral,coming end looooong day good new got everything done bad news gotta wake tomorrow work
negative,made fly list airlines wait connector late flight stuck iah
negative,chick wont shut stop chirping sit bloody thing
positive,morning people thought id make start one
neutral,mums trying make feel ebtter stopping voting adn winning shortstack almost cried
negative,ok app doesnt seem working use mobile site
negative,think thats going true
neutral,watching hours
positive,hahahahahahahahahahahaha love actually mad cravings lately though
positive,thank u secured room night thx helpful customer service rep n dorns thanked u goodenoughmother
negative,bad dont either
positive,amanda peet lot like love loves classic really
neutral,case exempts centre filing status report proceedings international tribunal
positive,hi han
negative,first beer days happened im cause miss wanted get one mothers day
neutral,morning panic clicked link opened browser firefox done saved tabs gone that`ll learn
negative,oops forgot barbecue work today didn`t need pack lunch
neutral,early
negative,sorry bout cat
positive,would great k us
positive,like airlines congrats
neutral,less days til warped tour
negative,need know status cancelled flightled instead delaying flight
neutral,i`m way hungry even think can`t go work empty stomach like
negative,enjoying coffee super delicious cookie
negative,wish sun would shine won`t
neutral,people wanted buy bulk govt
negative,whose performing
positive,download movie good day black sexy cool movie
negative,flight phl austin cancelled flighted headed houston delayed pay rent car drive hrs austin
positive,one good friends states covered thank
positive,lol youre fucking funny
positive,finally almost home
positive,aye hardly suitable watch work close sharpish
neutral,st day work today bit tiring ok lol onto college work
negative,clay hannah love deserved endgame unhappy
negative,stuck lady
positive,dear dbq pain asssss im glad im done
neutral,where`s happiness
positive,thank
positive,podcast promotes podcasts might happen
negative,loosing lot business using barclays cant believe cant apply card live iowa
neutral,aaplafter years losses apple finally clawing back market share
neutral,starbucks shuts anon decimated
negative,tried speaking multiple people reservations desk min hold waivethefee poorcustomerservice neptune
positive,getting ready early night tweeps great one every
positive,night mr cullen
positive,thanks fa shawn spectacular service flt lhrdfw fa susan warm engaging onboard welcome
negative,storm acting excited discussion session regarding social media scott lake ceo thinksm attending
neutral,got twitter account
negative,way home n deal w underage girls drinking gin da bus talking bout keggers feel old
positive,working setting ipod touch today officially mine
neutral,protesters stage diein protests store nyc anger misplaced retweet agree
positive,cnbctv apples margins better expected aapl
positive,made time giving hard time
negative,get account number website says email unavailable
negative,hate rain people
neutral,must get
positive,current favourites life house formerly boston legal guess enjoy sarcasm
positive,dressed like dangerous
negative,ok guess need actual work long pm oh may ditch early
positive,happy note crew wonderful cant say enough great things pilot hes us
neutral,new patent primesense covers kinectstyle spacemapping via cooltech
negative,sadness top horde guild liked disbanded
positive,thanks follow doug like hat
negative,ridiculous fly outdated anywhere much less btwn iah sfo power ports wifi personal entertainment torture
negative,sad got plans cancled
negative,oh phew scared wont access im mexico
neutral,guys use camera angles make look like people building
neutral,studio ft one outlet computers need batteries future
negative,_ haha phew i`ve never said
neutral,catching tweets saw ac`s promo new blog knew immediately would title
neutral,jennah u tell jay said good night plz im asking nicely
negative,bah don`t think `s fb fan page get
neutral,bjp could face backlash
positive,haha nice ring lets get used ok iloveyoutoo
positive,howdy maam im fine n dandy ur naive im dutch mans uncle
negative,round two worst airline ever
positive,ur home ohhh nkow lexington ky rite next
positive,thats charmingly funny
neutral,well beginning new week guess office days till friday
negative,computer system went ok understandable agents make worse helping anyone else
negative,everything fine lost bag
neutral,little vino wouldnt hurt
neutral,finally got overdue books little room overstuffed back pack
positive,hahahaha im listening itunes library bit sonia dada atm good
neutral,hey free
neutral,mock ap chemistry exam today central park gonna ap chem v ap bio tournament
positive,wooo recovering running race life yest managed mins secs bad absolutley trianing
positive,protesters stage diein protests store nyc anger misplaced retweet agree
positive,much buying awesome new phone sony ericsson berry`d like everyone else
neutral,yay watching supernatural great way end hard day miss jesse
negative,im hungrybut there`s food mah house
positive,fuzzball fun mother`s day
neutral,going giving travel agent rates hold iata card
negative,thats horse radish
positive,im harry potter marothon im dork
negative,sure also read southwest doesnt believe liable incident fault sw lost
positive,twikini enjoying sun
negative,never going get gate rate
negative,big moths wasps insects general haha hate
positive,freaking chapter one piece definitely good one
neutral,iphone makes ios success uk android fights back japan aapl aapl
positive,wow xmen pretty much amazing love wolverine
neutral,put neighborhood little one like runners got st place okay time happy
negative,baggage lost last night call us airways bags nobody answering phone badcustomersrvice whereismybag
positive,_photography good morning hope great day
negative,toooo much outside killen eyes
neutral,studio ft one outlet computers need batteries future
